region,sub_region,country,ISO3
Africa,Northern Africa,Algeria,DZA
Africa,Northern Africa,Egypt,EGY
Africa,Northern Africa,Libya,LBY
Africa,Northern Africa,Morocco,MAR
Africa,Northern Africa,Sudan,SDN
Africa,Northern Africa,Tunisia,TUN
Africa,Northern Africa,Western Sahara,ESH
Africa,Sub-Saharan Africa,British Indian Ocean Territory,IOT
Africa,Sub-Saharan Africa,Burundi,BDI
Africa,Sub-Saharan Africa,Comoros,COM
Africa,Sub-Saharan Africa,Djibouti,DJI
Africa,Sub-Saharan Africa,Eritrea,ERI
Africa,Sub-Saharan Africa,Ethiopia,ETH
Africa,Sub-Saharan Africa,French Southern Territories,ATF
Africa,Sub-Saharan Africa,Kenya,KEN
Africa,Sub-Saharan Africa,Madagascar,MDG
Africa,Sub-Saharan Africa,Malawi,MWI
Africa,Sub-Saharan Africa,Mauritius,MUS
Africa,Sub-Saharan Africa,Mayotte,MYT
Africa,Sub-Saharan Africa,Mozambique,MOZ
Africa,Sub-Saharan Africa,Réunion,REU
Africa,Sub-Saharan Africa,Rwanda,RWA
Africa,Sub-Saharan Africa,Seychelles,SYC
Africa,Sub-Saharan Africa,Somalia,SOM
Africa,Sub-Saharan Africa,South Sudan,SSD
Africa,Sub-Saharan Africa,Uganda,UGA
Africa,Sub-Saharan Africa,United Republic of Tanzania,TZA
Africa,Sub-Saharan Africa,Zambia,ZMB
Africa,Sub-Saharan Africa,Zimbabwe,ZWE
Africa,Sub-Saharan Africa,Angola,AGO
Africa,Sub-Saharan Africa,Cameroon,CMR
Africa,Sub-Saharan Africa,Central African Republic,CAF
Africa,Sub-Saharan Africa,Chad,TCD
Africa,Sub-Saharan Africa,Congo,COG
Africa,Sub-Saharan Africa,Democratic Republic of the Congo,COD
Africa,Sub-Saharan Africa,Equatorial Guinea,GNQ
Africa,Sub-Saharan Africa,Gabon,GAB
Africa,Sub-Saharan Africa,Sao Tome e Principe,STP
Africa,Sub-Saharan Africa,Botswana,BWA
Africa,Sub-Saharan Africa,Lesotho,LSO
Africa,Sub-Saharan Africa,Namibia,NAM
Africa,Sub-Saharan Africa,South Africa,ZAF
Africa,Sub-Saharan Africa,Swaziland,SWZ
Africa,Sub-Saharan Africa,Benin,BEN
Africa,Sub-Saharan Africa,Burkina Faso,BFA
Africa,Sub-Saharan Africa,Cabo Verde,CPV
Africa,Sub-Saharan Africa,Côte d'Ivoire,CIV
Africa,Sub-Saharan Africa,Gambia,GMB
Africa,Sub-Saharan Africa,Ghana,GHA
Africa,Sub-Saharan Africa,Guinea,GIN
Africa,Sub-Saharan Africa,Guinea-Bissau,GNB
Africa,Sub-Saharan Africa,Liberia,LBR
Africa,Sub-Saharan Africa,Mali,MLI
Africa,Sub-Saharan Africa,Mauritania,MRT
Africa,Sub-Saharan Africa,Niger,NER
Africa,Sub-Saharan Africa,Nigeria,NGA
Africa,Sub-Saharan Africa,Saint Helena,SHN
Africa,Sub-Saharan Africa,Senegal,SEN
Africa,Sub-Saharan Africa,Sierra Leone,SLE
Africa,Sub-Saharan Africa,Togo,TGO
Americas,Latin America and the Caribbean,Anguilla,AIA
Americas,Latin America and the Caribbean,Antigua and Barbuda,ATG
Americas,Latin America and the Caribbean,Aruba,ABW
Americas,Latin America and the Caribbean,Bahamas,BHS
Americas,Latin America and the Caribbean,Barbados,BRB
Americas,Latin America and the Caribbean,"Bonaire, Sint Eustatius and Saba",BES
Americas,Latin America and the Caribbean,British Virgin Islands,VGB
Americas,Latin America and the Caribbean,Cayman Islands,CYM
Americas,Latin America and the Caribbean,Cuba,CUB
Americas,Latin America and the Caribbean,Curacao,CUW
Americas,Latin America and the Caribbean,Dominica,DMA
Americas,Latin America and the Caribbean,Dominican Republic,DOM
Americas,Latin America and the Caribbean,Grenada,GRD
Americas,Latin America and the Caribbean,Guadeloupe,GLP
Americas,Latin America and the Caribbean,Haiti,HTI
Americas,Latin America and the Caribbean,Jamaica,JAM
Americas,Latin America and the Caribbean,Martinique,MTQ
Americas,Latin America and the Caribbean,Montserrat,MSR
Americas,Latin America and the Caribbean,Puerto Rico,PRI
Americas,Latin America and the Caribbean,Saint Barthélemy,BLM
Americas,Latin America and the Caribbean,Saint Kitts and Nevis,KNA
Americas,Latin America and the Caribbean,Saint Lucia,LCA
Americas,Latin America and the Caribbean,Saint Martin (French Part),MAF
Americas,Latin America and the Caribbean,Saint Vincent and the Grenadines,VCT
